Unnamed: 0,DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_PLEITO,DT_PLEITO,NR_TURNO,CD_ELEICAO,DS_ELEICAO,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,NR_SECAO,NR_LOCAL_VOTACAO,CD_CARGO_PERGUNTA,DS_CARGO_PERGUNTA,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,DT_BU_RECEBIDO,QT_APTOS,QT_COMPARECIMENTO,QT_ABSTENCOES,CD_TIPO_URNA,DS_TIPO_URNA,CD_TIPO_VOTAVEL,DS_TIPO_VOTAVEL,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS,NR_URNA_EFETIVADA,CD_CARGA_1_URNA_EFETIVADA,CD_CARGA_2_URNA_EFETIVADA,CD_FLASHCARD_URNA_EFETIVADA,DT_CARGA_URNA_EFETIVADA,DS_CARGO_PERGUNTA_SECAO,DS_SECOES_AGREGADAS,DT_ABERTURA,DT_ENCERRAMENTO,QT_ELEI_BIOM_SEM_HABILITACAO,DT_EMISSAO_BU,NR_JUNTA_APURADORA,NR_TURMA_APURADORA
1436,09/10/2024,16:36:29,2024,0,Eleição Ordinária,452,2024-10-06 00:00:00,1,619,Eleições Municipais 2024,RS,88013,PORTO ALEGRE,111,223,1350,13,Vereador,80,UP,Unidade Popular,2024-10-06 18:31:21,386,295,91,1,Apurada,1,Nominal,80000,ANDRE TELLES,1,2399998,686.695.332.111.927.650.,95.737,C722C9C1,2024-09-27 11:24:00,13 - 223,#NULO#,2024-10-06 08:00:01,2024-10-06 17:00:50,14,2024-10-06 17:02:47,-1.0,-1.0
1453,09/10/2024,16:36:29,2024,0,Eleição Ordinária,452,2024-10-06 00:00:00,1,619,Eleições Municipais 2024,RS,88013,PORTO ALEGRE,113,405,1635,13,Vereador,80,UP,Unidade Popular,2024-10-06 18:12:57,376,244,132,1,Apurada,1,Nominal,80000,ANDRE TELLES,1,2406081,121.061.030.905.203.160.,84.041,31C1F0B0,2024-09-26 12:04:00,13 - 405,#NULO#,2024-10-06 08:00:01,2024-10-06 17:01:51,7,2024-10-06 17:03:40,-1.0,-1.0
1487,09/10/2024,16:36:29,2024,0,Eleição Ordinária,452,2024-10-06 00:00:00,1,619,Eleições Municipais 2024,RS,88013,PORTO ALEGRE,111,250,1341,13,Vereador,80,UP,Unidade Popular,2024-10-06 18:39:41,394,263,131,1,Apurada,1,Nominal,80000,ANDRE TELLES,1,2394868,333.160.860.133.749.498.,3.869,59DAB404,2024-09-27 11:09:00,13 - 250,#NULO#,2024-10-06 08:00:01,2024-10-06 17:02:38,19,2024-10-06 17:05:35,-1.0,-1.0
1508,09/10/2024,16:36:29,2024,0,Eleição Ordinária,452,2024-10-06 00:00:00,1,619,Eleições Municipais 2024,RS,88013,PORTO ALEGRE,111,270,1597,13,Vereador,80,UP,Unidade Popular,2024-10-06 19:00:36,380,270,110,1,Apurada,1,Nominal,80000,ANDRE TELLES,1,2409276,474.574.141.921.646.445.,838.295,E9B6C15E,2024-09-27 11:23:00,13 - 270,#NULO#,2024-10-06 08:00:01,2024-10-06 17:00:55,13,2024-10-06 17:04:31,-1.0,-1.0
1562,09/10/2024,16:36:29,2024,0,Eleição Ordinária,452,2024-10-06 00:00:00,1,619,Eleições Municipais 2024,RS,88013,PORTO ALEGRE,113,117,1104,13,Vereador,80,UP,Unidade Popular,2024-10-06 18:26:49,390,247,143,1,Apurada,1,Nominal,80000,ANDRE TELLES,2,2412882,737.122.661.028.998.323.,862.63,47430A0D,2024-09-26 09:37:00,13 - 117,#NULO#,2024-10-06 08:00:01,2024-10-06 17:01:47,7,2024-10-06 17:04:17,-1.0,-1.0
1575,09/10/2024,16:36:29,2024,0,Eleição Ordinária,452,2024-10-06 00:00:00,1,619,Eleições Municipais 2024,RS,88013,PORTO ALEGRE,159,510,2178,13,Vereador,80,UP,Unidade Popular,2024-10-06 18:18:13,330,205,125,1,Apurada,1,Nominal,80000,ANDRE TELLES,1,2412407,333.176.859.957.493.522.,126.131,056FE12D,2024-09-24 11:18:00,13 - 510,#NULO#,2024-10-06 08:00:01,2024-10-06 17:00:46,6,2024-10-06 17:02:49,-1.0,-1.0
2300,09/10/2024,16:36:29,2024,0,Eleição Ordinária,452,2024-10-06 00:00:00,1,619,Eleições Municipais 2024,RS,88013,PORTO ALEGRE,158,369,1678,13,Vereador,80,UP,Unidade Popular,2024-10-06 18:10:28,325,231,94,1,Apurada,1,Nominal,80000,ANDRE TELLES,1,2395706,939.125.617.971.584.273.,648.819,01ED8231,2024-09-21 09:26:00,13 - 369,#NULO#,2024-10-06 08:00:01,2024-10-06 17:06:01,4,2024-10-06 17:09:18,-1.0,-1.0
2309,09/10/2024,16:36:29,2024,0,Eleição Ordinária,452,2024-10-06 00:00:00,1,619,Eleições Municipais 2024,RS,88013,PORTO ALEGRE,1,92,1066,13,Vereador,80,UP,Unidade Popular,2024-10-06 18:19:35,369,248,121,1,Apurada,1,Nominal,80000,ANDRE TELLES,1,2410480,999.710.847.271.771.170.,496.181,425C4940,2024-09-23 09:34:00,13 - 92,#NULO#,2024-10-06 08:00:01,2024-10-06 17:01:16,18,2024-10-06 17:03:36,-1.0,-1.0
2345,09/10/2024,16:36:29,2024,0,Eleição Ordinária,452,2024-10-06 00:00:00,1,619,Eleições Municipais 2024,RS,88013,PORTO ALEGRE,111,242,1414,13,Vereador,80,UP,Unidade Popular,2024-10-06 18:58:59,365,281,84,1,Apurada,1,Nominal,80000,ANDRE TELLES,2,2412594,797.706.472.469.262.045.,675.959,A4F3A77A,2024-09-27 11:36:00,13 - 242,#NULO#,2024-10-06 08:00:01,2024-10-06 17:03:52,17,2024-10-06 17:07:25,-1.0,-1.0
2350,09/10/2024,16:36:29,2024,0,Eleição Ordinária,452,2024-10-06 00:00:00,1,619,Eleições Municipais 2024,RS,88013,PORTO ALEGRE,2,293,1473,13,Vereador,80,UP,Unidade Popular,2024-10-06 18:43:31,382,264,118,1,Apurada,1,Nominal,80000,ANDRE TELLES,1,2429221,787.600.927.230.702.821.,610.759,FE604C0B,2024-09-19 11:01:00,13 - 293,#NULO#,2024-10-06 08:00:01,2024-10-06 17:10:20,16,2024-10-06 17:12:35,-1.0,-1.0
